Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-bl1,Ethernet1,10.255.1.45/31,spine,dc1-spine1,Ethernet4,10.255.1.44/31
l3leaf,dc1-bl1,Ethernet2,10.255.1.47/31,spine,dc1-spine2,Ethernet4,10.255.1.46/31
l3leaf,dc1-bl2,Ethernet1,10.255.1.49/31,spine,dc1-spine1,Ethernet5,10.255.1.48/31
l3leaf,dc1-bl2,Ethernet2,10.255.1.51/31,spine,dc1-spine2,Ethernet5,10.255.1.50/31
l3leaf,dc1-leaf1,Ethernet1,10.255.1.33/31,spine,dc1-spine1,Ethernet1,10.255.1.32/31
l3leaf,dc1-leaf1,Ethernet2,10.255.1.35/31,spine,dc1-spine2,Ethernet1,10.255.1.34/31
l3leaf,dc1-leaf2a,Ethernet1,10.255.1.37/31,spine,dc1-spine1,Ethernet2,10.255.1.36/31
l3leaf,dc1-leaf2a,Ethernet2,10.255.1.39/31,spine,dc1-spine2,Ethernet2,10.255.1.38/31
l3leaf,dc1-leaf2b,Ethernet1,10.255.1.41/31,spine,dc1-spine1,Ethernet3,10.255.1.40/31
l3leaf,dc1-leaf2b,Ethernet2,10.255.1.43/31,spine,dc1-spine2,Ethernet3,10.255.1.42/31
l3leaf,dc2-bl1,Ethernet1,10.255.2.45/31,spine,dc2-spine1,Ethernet4,10.255.2.44/31
l3leaf,dc2-bl1,Ethernet2,10.255.2.47/31,spine,dc2-spine2,Ethernet4,10.255.2.46/31
l3leaf,dc2-bl2,Ethernet1,10.255.2.49/31,spine,dc2-spine1,Ethernet5,10.255.2.48/31
l3leaf,dc2-bl2,Ethernet2,10.255.2.51/31,spine,dc2-spine2,Ethernet5,10.255.2.50/31
l3leaf,dc2-leaf1,Ethernet1,10.255.2.33/31,spine,dc2-spine1,Ethernet1,10.255.2.32/31
l3leaf,dc2-leaf1,Ethernet2,10.255.2.35/31,spine,dc2-spine2,Ethernet1,10.255.2.34/31
l3leaf,dc2-leaf2a,Ethernet1,10.255.2.37/31,spine,dc2-spine1,Ethernet2,10.255.2.36/31
l3leaf,dc2-leaf2a,Ethernet2,10.255.2.39/31,spine,dc2-spine2,Ethernet2,10.255.2.38/31
l3leaf,dc2-leaf2b,Ethernet1,10.255.2.41/31,spine,dc2-spine1,Ethernet3,10.255.2.40/31
l3leaf,dc2-leaf2b,Ethernet2,10.255.2.43/31,spine,dc2-spine2,Ethernet3,10.255.2.42/31
